No.,Districts,Families,Persons,Deaths,Missing,Safety centers,Families,Persons
,,,,,,,,
1,Puttalam,"47,222","173,165",10,4,75,"4,104","14,328"
2,Badulla,"7,973","32,760",71,53,180,"5,524","22,373"
3,Monaragala,"1,244","4,114",3,1,2,79,197
4,Matale,"2,955","10,335",24,6,48,"3,142","10,776"
5,Colombo,"52,939","218,123",3,2,104,"5,303","16,934"
6,Batticaloa,"12,104","34,377",2,-,3,37,"1,665"
7,Kegalle,"11,884","42,898",22,48,169,"4,647","17,404"
8,Trincomalee,"22,098","71,944",-,-,53,"4,979","15,086"
9,Anuradhapura,"9,143","30,703",5,2,72,"2,497","9,399"
10,Mullaitivu,"1,550","4,592",1,-,102,"1,410","3,848"
11,Kilinochchi,"7,782","22,621",-,-,31,"1,406","3,948"
12,Ampara,505,"1,797",8,-,14,641,"2,202"
13,Jaffna,"1,669","5,283",3,2,57,"1,619","5,323"
14,Polonnaruwa,"7,449","24,845",2,-,29,"3,472","11,598"
15,Kandy,"10,873","36,765",88,150,176,"5,001","20,064"
16,Rathnapura,"11,579","45,769",-,-,55,608,"2,102"
17,Kurunegala,"14,649","50,492",37,35,93,"3,207","11,353"
18,Nuwara Eliya,"2,691","12,304",75,62,61,"1,914","8,654"
19,Matara,355,"1,329",-,-,-,-,-
20,Hambantota,31,114,-,-,-,-,-
21,Galle,368,"1,226",1,-,-,-,-
22,Kalutara,"2,013","7,093",-,-,4,76,241
23,Mannar,"24,313","79,946",-,-,87,"5,273","16,554"
24,Gampaha,"56,854","218,899",9,2,106,"4,799","17,968"
25,Vavuniya,"6,123","20,282",2,-,43,"1,874","6,509"
Total,,"316,366","1,151,776",366,367,"1,564","61,612","218,526"
