,,,,,,,,ආරක්ිත,,
,,බලපෑමට,බලපෑමට ලක්ූ,,,පූර්ණ නිවාස,අර්ධ්‍ නිවාස,,පවුල්,පුද්ගලයින්
අ.අ,දිස්ික්කය,,,මිය යෑම්,අතුරුදහන්,,,ස්ථාන,,
,,ලක්ූ පවුල්,පුද්ගලයින්,,,හානි,හානි,,සංඛ්‍යාව,සංඛ්‍යාව
,,,,,,,,සංඛ්‍යාව,,
,,,,,,,,,,
1,පුත්තලම,"98,631","347,211",34,4,255,"3,273",52,"1,874","7,609"
2,බදුල්ල,"12,274","45,187",83,28,269,"3,896",178,"6,246","21,002"
3,මමොණරොගල,"1,467","4,867",4,0,35,507,2,51,142
4,මොතමල්,"7,211","25,744",28,9,119,"2,864",44,"1,355","4,113"
5,ම ොළඹ,"80,682","310,047",8,2,13,"2,126",86,"3,238","10,939"
6,මඩ ලපුව,"12,469","37,389",2,0,11,946,0,0,0
7,ෑගල්ල,"19,029","67,161",30,41,582,"11,668",54,"6,027","20,381"
8,ත්‍රිකුණොමලය,"25,981","86,313",0,0,0,704,6,170,570
9,අනුරොධපුර,"21,835","72,007",7,0,228,"2,235",13,266,758
10,මුලතිව්,"22,918","67,340",0,0,5,907,40,"1,191","3,591"
11,කිලිම ොච්චි,"8,878","28,093",0,0,2,374,0,0,0
12,අම්පොර,"6,900","23,610",8,0,111,493,14,641,"2,202"
13,යොප ය,"16,918","53,828",3,0,2,370,6,124,386
14,මපොමලොන් රුව,"11,426","40,724",2,0,219,"3,403",6,604,"2,166"
15,නුවර,"51,098","161,140",232,81,"1,800","13,044",341,"8,992","30,870"
16,රත් පුර,"18,375","71,633",1,0,6,"7,851",10,106,389
17,කුරුණෑගල,"25,059","86,163",61,11,480,"3,395",43,"1,209","4,274"
18,නුවරඑළිය,"10,444","42,886",89,35,15,453,35,885,"2,794"
19,මොතර,448,"1,671",0,0,1,437,0,0,0
20,හම්බන්මතොට,"3,353","11,733",1,0,4,188,0,0,0
21,ගොල්ල,518,"1,795",1,0,0,492,0,0,0
22,ළුතර,"2,013","7,093",0,0,1,953,0,0,0
23,මන් ොරම,"23,641","77,451",2,0,18,156,1,57,163
24,ගම්පහ,"88,738","362,664",13,2,132,"4,765",20,451,"1,394"
25,වවුනියොව,"6,320","20,785",2,0,1,"4,135",5,135,383
එ තුව,,"576,626","2,054,535",611,213,"4,309","69,635",956,"33,622","114,126"
,,,,,,,,,,
