No.,Districts,"Affected Population
(As at today)",,"Deaths / Missing (As at
today)",,"Houses Damaged (As
at today)",,Safety Centers (As at today),,,"Population Staying with
Relatives, Friends or Other
Locations (As
at today)",
,,Families,Persons,Deaths,Missing,Fully,Partially,No of Centers,Families,Persons,Families,Persons
1,Ampara,0,0,8,0,106,568,0,0,0,0,0
2,Anuradhapura,0,0,13,0,245,"3,083",0,0,0,0,0
3,Badulla,"26,393","90,127",89,10,544,"5,681",86,"3,254","10,734","7,244","27,523"
4,Batticaloa,0,0,4,0,11,834,0,0,0,0,0
5,Colombo,22,85,9,1,141,"19,126",2,22,85,0,0
6,Galle,0,0,1,0,1,725,0,0,0,0,0
7,Gampaha,0,0,17,1,256,"8,863",0,0,0,0,0
8,Hambantota,"2,318","8,165",1,0,7,531,0,0,0,"2,318","8,165"
9,Jaffna,"2,969","9,215",4,0,2,464,0,0,0,0,0
10,Kalutara,0,0,2,0,1,"1,323",0,0,0,0,0
11,Kandy,"7,058","24,959",241,69,"1,903","16,514",29,826,"2,742","6,232","22,217"
12,Kegalle,"11,953","39,205",33,38,297,"13,977",28,"1,093","3,145","10,860","36,060"
13,Kilinochchi,515,"1,576",0,0,0,140,0,0,0,0,0
14,Kurunegala,7,22,62,11,621,"5,012",2,7,22,0,0
15,Mannar,0,0,4,0,70,"1,565",0,0,0,0,0
16,Matale,"5,825","18,241",29,8,255,"4,423",18,270,683,"5,478","18,241"
17,Matara,0,0,0,0,1,525,0,0,0,0,0
18,Monaragala,0,0,5,0,38,518,0,0,0,0,0
19,Mullaitivu,21,69,0,0,21,"1,688",0,0,0,21,69
20,Nuwara Eliya,"21,217","69,178",81,32,662,"3,699",64,"1,300","4,669","19,917","64,509"
21,Polonnaruwa,0,0,3,0,160,"3,775",0,0,0,0,0
22,Puttalam,118,462,38,4,652,"9,530",1,13,41,0,0
23,Ratnapura,59,191,1,0,8,"7,727",1,5,15,54,176
24,Trincomalee,20,62,0,0,20,"1,185",0,0,0,20,62
25,Vavuniya,0,0,0,0,15,669,0,0,0,0,0
Total,,"78,495","261,557",645,174,"6,037","112,145",231,"6,790","22,136","52,144","177,022"
