No.,,Districts,,"Maximum Population
Affected at Peak",,,,,,"Affected details
(As at today)",,,,,,"Deaths / Missing
Persons details
(As at today)",,,,,,"Houses Damaged
(As at today)",,,,,,Peak Safety Center Figures,,,,,,,,,"Safety Center Figures
(As at today)",,,,,,,,,,Displaced Population,,,,,"Total No: of
Internally Displaced
P o p ulation (IDPs)",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staying with,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Relatives, Friends or",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,in Other Locations,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(As at today),,,,,,,,,,
,,,,Families,,,Persons,,,Families,,,Persons,,,Deaths,,,Missing,,,Fully,,,Partially,,,"No of
Centers",,,Families,,,Persons,,,"No of
Centers",,,Families,,,Persons,,,Families,,,Persons,,,Families,,,Persons,,
1,,Ampara,,7004,,,23748,,,0,,,0,,,8,,,0,,,106,,,568,,,14,,,641,,,2202,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
2,,Anuradhapura,,23078,,,76140,,,0,,,0,,,13,,,0,,,207,,,3179,,,98,,,2915,,,11013,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
3,,Badulla,,28905,,,98168,,,26393,,,90127,,,89,,,10,,,544,,,5681,,,132,,,4993,,,14792,,,38,,,1287,,,3864,,,7244,,,27523,,,8531,,,31387,,
4,,Batticaloa,,13976,,,41358,,,0,,,0,,,4,,,0,,,11,,,834,,,21,,,1412,,,3998,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
5,,Colombo,,86171,,,330537,,,18,,,60,,,9,,,1,,,141,,,19126,,,108,,,5577,,,20351,,,2,,,18,,,60,,,0,,,0,,,18,,,60,,
6,,Galle,,978,,,3176,,,0,,,0,,,1,,,0,,,1,,,725,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
7,,Gampaha,,87234,,,342420,,,0,,,0,,,17,,,0,,,256,,,8863,,,118,,,5797,,,23642,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
