"උතුරුමැද පලාත
tlkj;jpa
khfhzk;
North Central",9,"අනුරාධ්‍පුර
m.Guk;
Anuradhapura",Palagala,Tree Falls,2026.05.12,1,6,,,,,1,,,,,,
,,,,Heavy Rain,2026.05.12,1,4,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,2,10,0,0,0,0,2,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,2,10,0,0,0,0,2,0,0,0,0,0,
"උතුරු පලාත tl
khfhzk;
Northen ;",10,,Chenkanai,Tree Falls,2026.05.14,1,4,,,,,,,,,,,
,,"යාපනය
aho;g;ghzk;",,Lightning,2026.05.14,1,1,1,,,,,,,,,,
,,Jaffna,Karaveddy,Tree Falls,2026.05.14,2,4,,,,,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,4,9,1,0,0,0,0,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,4,9,1,0,0,0,0,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,1151,3623,2,2,0,1,112,2,0,3,34,123,
ආපදා කළමනාකරණ මධ්‍යස්ත්‍රථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre,,,,,,,,,,,,,,,,,,
,,,,,,,"හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,
