"උතුරුමැද පලාත
tlkj;jpa
khfhzk;
North Central",6,"මපාමලාන්නරුව
nghyd;dWit
Polonnaruwa",03 DS Divisions,Drought,2026.08.18,2446,9131,,,,,,,,,,,"වියළි කාලගුණ
තත්ත්වය ලහරතුලවන්
පීඩාවට පත් ප්‍රා.ලේ
ලකාට්ඨාශ මදකක පවුේ
2146ක් ස්ත්‍ඳහා පානීය"
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,2446,9131,0,0,0,0,0,0,0,0,0,0,"ජලය ලෙදා දීම සිදු කරනු
ලෙයි."
,7,"අනුරාධපුර
m.Guk;
Anuradhapura",01 DS Divisions,Drought,2026.09.03,30,151,,,,,,,,,,,"වියළි කාලගුණ
තත්ත්වය ලහරතුලවන්
පීඩාවට පත් ප්‍රා.ලේ
ලකාට්ඨාශ එකක පවුේ
30ක් ස්ත්‍ඳහා පානීය ජලය"
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,30,151,0,0,0,0,0,0,0,0,0,0,ලෙදා දීම සිදු කරනු ලෙයි.
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,2476,9282,0,0,0,0,0,0,0,0,0,0,
"මධයම පලාත
kj;jpa khfhzk;
Central",8,"මාතමල්
khj;jis
Matale",01 DS Divisions,Drought,2026.09.02,11792,37512,,,,,,,,,,,"වියළි කාලගුණ
තත්ත්වය ලහරතුලවන්
පීඩාවට පත් ප්‍රා.ලේ
ලකාට්ඨාශ එකක පවුේ
5910ක් ස්ත්‍ඳහා පානීය"
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,11792,37512,0,0,0,0,0,0,0,0,0,0,"ජලය ලෙදා දීම සිදු කරනු
ලෙයි."
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,11792,37512,0,0,0,0,0,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,50174,163869,0,0,0,0,0,0,0,0,0,0,
ආපදා කළමනාකරණ මධයස්ත්‍රථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre,,,,,,,,,,,,,,,,,,
,,,,,,,"හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,
