ප්‍රධාන නගර සදහා කාලගුණ අනාවැකිය දි න ය : 2 0 2 5 - 1 2 -09,,,,,
නගරය,උෂණ් ත්වය(සස. අංශක),,සාසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,29,23,95,75,විටින් විට වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
මඩකලපුව,28,25,95,75,විටින් විට වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
හකාළඹ,31,24,95,70,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
ගාල්ල,28,24,90,75,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
යාපනය,28,24,95,75,විටින් විට වැසි
ම නුවර,28,21,95,70,විටින් විට වැසි
නුවරඑළිය,19,12,95,75,විටින් විට වැසි
රත්නපුරය,33,23,90,75,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
ත්‍රිකුණාමලය,28,24,95,75,විටින් විට වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
මන්නාරම,28,25,95,75,විටින් විට වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
