ප්‍රධාන්‍ න්‍ගර සෙහා කාලගුණ අන්‍ාවැකිය දි න්‍ ය : 2 0 2 5 - 1 2 -10,,,,,
න්‍ගරය,උෂ්ණත්වය(දස. අංශ්‍ක),,සාදේක්ෂ ආර්රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,31,23,95,65,විටින් විට වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
මඩකලපුව,29,25,95,75,විටින් විට වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
හකාළඹ,32,25,95,60,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
ොල්ල,29,24,90,75,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
යාපනය,29,25,90,65,විටින් විට වැසි
ම නුවර,30,20,95,60,විටින් විට වැසි
නුවරඑළිය,21,10,95,70,විටින් විට වැසි
රත්නපුරය,34,23,95,55,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
ත්‍රිකුණාමලය,30,24,95,70,විටින් විට වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
මන්නාරම,29,25,95,70,විටින් විට වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
