ප්‍රධාන්‍ න්‍ගර සෙහා කාලගුණ අන්‍ාවැකිය දි න්‍ ය : 2 0 2 5 - 1 2 -16,,,,,
න්‍ගරය,උෂණ් ත්වය(දස. අංශ්‍ක),,සාදේක්ෂ ආර්රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,30,23,95,75,වැසි වාර කිහිපයක්
මඩකලපුව,29,23,90,80,විටින් විට වැසි
හකාළඹ,31,23,80,60,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
ොල්ල,29,24,90,73,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති විය ැක
යාපනය,28,23,85,65,විටින් විට වැසි
ම නුවර,28,20,95,75,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති විය ැක
නුවරඑළිය,19,11,95,80,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති විය ැක
රත්නපුරය,33,22,95,65,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති විය ැක
ත්‍රිකුණාමලය,28,24,90,75,විටින් විට වැසි
මන්නාරම,30,25,80,65,වැසි වාර කිහිපයක්
