Weather Forecast for Main Cities Date : 28-Dec-2025,,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,30,22,95,60,Mainly fair
Batticaloa,29,25,90,70,Several spells of showers
Colombo,32,24,80,50,Mainly fair
Galle,29,24,90,75,Showers or thundershowers are likely after 2.00p.m
Jaffna,29,22,90,70,A few showers
Kandy,30,20,90,60,A few showers
Nuwara-Eliya,19,10,95,75,Several spells of showers
Ratnapura,34,23,95,65,Showers or thundershowers are likely after 2.00p.m
Trincomalee,29,25,85,70,A few showers
Mannar,29,25,85,70,A few showers
