ප්‍රධාන්‍ න්‍ගර සෙහා කාලගුණ අන්‍ාවැකිය දි න්‍ ය : 2 0 2 5 - 1 2 -30,,,,,
න්‍ගරය,උෂ්ණත්වය(දස. අංශ්‍ක),,සාදේක්ෂ ආර්රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,31,23,95,60,වැසි වාර කිහිපයක්
මඩකලපුව,29,24,95,80,විටින් විට වැසි
හකාළඹ,32,25,85,55,ප්‍රධාන වශහයන් වැසි රහිත
ොේල,30,25,90,70,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති විය ැක
යාපනය,29,24,80,70,වැසි වාර කිහිපයක්
ම නුවර,28,22,90,60,වැසි වාර කිහිපයක්
නුවරඑළිය,20,13,95,70,වැසි වාර කිහිපයක්
රත්නපුරය,35,24,95,55,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
ිකුණාමලය,29,25,85,75,වැසි වාර කිහිපයක්
මන්නාරම,29,25,85,75,සිහින් වැසි වාර කිහිපයක්
