ප්‍රධාන්‍ න්‍ගර සෙහා කාලගුණ අන්‍ාවැකිය දි න්‍ ය : 2 0 2 5 - 1 2 -31,,,,,
න්‍ගරය,උෂ්ණත්වය(දස. අංශ්‍ක),,සාදේක්ෂ ආර්රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,29,24,95,80,වැසි වාර කිහිපයක්
මඩකලපුව,29,24,95,80,විටින විට වැසි
ගකාළඹ,30,24,90,60,සවස 2.00න පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ොල්ල,29,25,90,75,සවස 2.00න පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,29,23,90,75,වැසි වාර කිහිපයක්
මහනුවර,29,19,95,80,විටින විට වැසි
නුවරඑළිය,20,11,95,75,විටින විට වැසි
රත්නපුරය,33,23,95,65,සවස 2.00න පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
ිකුණාමලය,29,24,95,75,විටින විට වැසි
මනනාරම,29,25,90,75,වැසි වාර කිහිපයක්
