ප්‍රධාන නගර සදහා කාලගුණ අනාවැකිය දි න ය : 2 0 2 6 - 0 1 -05,,,,,
නගරය,උෂණ් ත්වය(සස. අංශක),,සාසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,29,22,95,65,වැසි වාර කිහිපයක්
මඩකලපුව,29,24,90,75,විටින් විට වැසි
කකාළඹ,32,24,85,65,සවස 2.00න් පසුව වැසි කහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ගාල්ල,30,24,90,80,සවස 2.00න් පසුව වැසි කහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,29,24,85,70,වැසි සව් ල්පයක්
මහනුවර,29,19,90,60,වැසි වාර කිහිපයක්
නුවරඑළිය,19,10,80,50,විටින් විට වැසි
රත්නපුරය,34,23,95,60,සවස 2.00න් පසුව වැසි කහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ත්‍රිකුණාමලය,29,24,90,75,විටින් විට වැසි
මන්නාරම,29,25,90,75,වැසි වාර කිහිපයක්
