Weather Forecast for Main Cities Date : 7-Jan-2026,,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,29,21,95,75,Several spells of showers
Batticaloa,30,24,95,80,Showers at times
Colombo,32,24,85,60,Mainly fair
Galle,30,24,90,75,Showers or thundershowers are likely after 2.00p.m
Jaffna,28,23,90,75,Several spells of light showers
Kandy,26,20,95,80,Showers or thundershowers after 2.00p.m
Nuwara-Eliya,19,13,95,90,Showers or thundershowers after 2.00p.m
Ratnapura,33,23,95,60,Showers or thundershowers after 2.00p.m
Trincomalee,28,24,90,80,Showers at times
Mannar,28,23,95,80,Showers at times
