பிரதான நகரங்களுக்கான வானிலை முன்னறிவித்தல் தி க தி : 2 0 2 6 - 0 1 - 0 7,,,,,
நகரம்,வவப்பநிலை (0C),,சாரீரப்பதன் (%),,வானிலை
,உச்ச,குலைந்த,உச்ச,குலைந்த,
அனுராதபுரம்,29,21,95,75,அடிக்கடி மழை பெய்யும்
மட்டக்களப்பு,30,24,95,80,அவ்வப்பெோது மழை பெய்யும்
வகாழும்பு,32,24,85,60,பிரதோனமோக சீரோன வோனிழை
காலி,30,24,90,75,"பி.ெ. 2.00 மணிக்குப் பின்னர் மழை அல்ைது இடியுடன் கூடிய மழை
பெய்யும் சோத்தியம்"
யாழ்ப்பாணம்,28,23,90,75,அடிக்கடி சிறிதளவில் மழை பெய்யும்
கண்டி,26,20,95,80,"பி.ெ. 2.00 மணிக்குப் பின்னர் மழை அல்ைது இடியுடன் கூடிய மழை
பெய்யும்"
நுவவரலியா,19,13,95,90,"பி.ெ. 2.00 மணிக்குப் பின்னர் மழை அல்ைது இடியுடன் கூடிய மழை
பெய்யும்"
இரத்தினபுரி,33,23,95,60,"பி.ெ. 2.00 மணிக்குப் பின்னர் மழை அல்ைது இடியுடன் கூடிய மழை
பெய்யும்"
திருககாணமலை,28,24,90,80,அவ்வப்பெோது மழை பெய்யும்
மன்னார்,28,23,95,80,அவ்வப்பெோது மழை பெய்யும்
