පළොත,ජනවොරි 08,,,ජනවොරි 09,,,ජනවොරි 10,,
උුර,"විටින් විට පැ.කි.මි.(50-60)
පමණ දක්වා වන තද සුළං",,,,විටින් විට පැ.කි.මි.(60-,,,විටින් විට පැ.කි.මි.(60-70),
,,,,,70) පමණ දක්වා වන ඉතා,,,පමණ දක්වා වන ඉතා තද,
,,,,,තද සුළං,,,සුළං,
උුරු-මැද,"විටින් විට පැ.කි.මි.(50-60)
පමණ දක්වා වන තද සුළං",,,,විටින් විට පැ.කි.මි.(50-,,"විටින් විට පැ.කි.මි.(50-60)
පමණ දක්වා වන තද සුළං",,
,,,,,60) පමණ දක්වා වන තද,,,,
,,,,,සුළං,,,,
නැකගනහිර,,,,,විටින් විට පැ.කි.මි.(60-,,"විටින් විට පැ.කි.මි.(50-60)
පමණ දක්වා වන තද සුළං",,
,,විටින් විට පැ.කි.මි.(50-60),,,70) පමණ දක්වා වන ඉතා,,,,
,,පමණ දක්වා වන තද සුළං,,,තද සුළං,,,,
සබරගමුව,"විටින් විට පැ.කි.මි.(40-50)
පමණ දක්වා වන තද සුළං",විටින් විට පැ.කි.මි.(40-50),,"විටින් විට පැ.කි.මි.(30-
40) පමණ දක්වා වන සුළං",විටින් විට පැ.කි.මි.(30-,,"විටින් විට පැ.කි.මි.(30-40)
පමණ දක්වා වන සුළං",,
,,පමණ දක්වා වන තද සුළං,,,40) පමණ දක්වා වන සුළං,,,,
බස්නාහිර,"විටින් විට පැ.කි.මි.(50-60)
පමණ දක්වා වන තද සුළං",,,,විටින් විට පැ.කි.මි.(50-,,"පැ.කි.මි.(40-50) පමණ දක්වා
වන තරමක තද සුළං",,
,,,,,60) පමණ දක්වා වන තද,,,,
,,,,,සුළං,,,,
දකුණ,,,,"විටින් විට පැ.කි.මි.(30-
40) පමණ දක්වා වන සුළං",,,"විටින් විට පැ.කි.මි.(30-40)
පමණ දක්වා වන සුළං",,
,,විටින් විට පැ.කි.මි.(30-40),,,,,,,
,,පමණ දක්වා වන සුළං,,,,,,,
ඌව,"විටින් විට පැ.කි.මි.(50-60)
පමණ දක්වා වන තද සුළං",විටින් විට පැ.කි.මි.(50-60),,,පැ.කි.මි.(40-50) පමණ,,"විටින් විට පැ.කි.මි.(30-40)
පමණ දක්වා වන සුළං",,
,,පමණ දක්වා වන තද සුළං,,,දක්වා වන තරමක තද,,,,
,,,,,සුළං,,,,
වයඹ,"විටින් විට පැ.කි.මි.(50-60)
පමණ දක්වා වන තද සුළං",,,,විටින් විට පැ.කි.මි.(50-,,"පැ.කි.මි.(40-50) පමණ දක්වා
වන තරමක තද සුළං",,
,,,,,60) පමණ දක්වා වන තද,,,,
,,,,,සුළං,,,,
මධ්‍යම,"විටින් විට පැ.කි.මි.(50-60)
පමණ දක්වා වන තද සුළං",,,,විටින් විට පැ.කි.මි.(60-,,"පැ.කි.මි.(40-50) පමණ දක්වා
වන තරමක තද සුළං",,
,,,,,70) පමණ දක්වා වන ඉතා,,,,
,,,,,තද සුළං,,,,
