Weather Forecast for Main Cities Date : 8-Jan-2026,,,,,
City,Temperature (0C),,"Relative Humidity
(%)",,Weather
,Max,Min,Max,Min,
"Anuradhapur
a",28,21,95,75,Showers or thundershowers at times
Batticaloa,27,24,95,75,Showers or thundershowers at times
Colombo,30,24,80,60,Showers or thundershowers are likely after 2.00p.m
Galle,29,24,95,80,Showers or thundershowers are likely after 2.00p.m
Jaffna,28,24,90,70,Showers at times
Kandy,26,20,95,75,Showers or thundershowers
Nuwara-Eliya,15,13,95,70,Showers or thundershowers at times
Ratnapura,30,22,90,75,Showers or thundershowers after 2.00p.m
Trincomalee,28,24,90,70,Showers at times
Mannar,28,24,95,80,Showers at times
