පළොත,දිස්ික්කය,ජනවොරි 08,,,ජනවොරි 09,,,ජනවොරි 10,,
උතුර,මුලතිේ,,විටින් විට වැසි ව ෝ,,,විටින් විට වැසි ව ෝ,,,විටින් විට වැසි ව ෝ,
,,,"ගිගුරුම් සහිත වැසි,",,,"ගිගුරුම් සහිත වැසි,",,,"ගිගුරුම් සහිත වැසි,",
,,,ඇතැම් ස්ථාන වලට,,,ඇතැම් ස්ථාන වලට,,,ඇතැම් ස්ථාන වලට,
,,,මි.මි. (75-100) දක්වා,,,මි.මි. 100 ක පමණ,,,මි.මි. (75-100) දක්වා,
,,,තරමක තද වැසි,,,තද වැසි,,,තරමක තද වැසි,
,යාපනය,"විටින් විට වැසි ව ෝ
ගිගුරුම් සහිත වැසි",,,,විටින් විට වැසි ව ෝ,,,විටින් විට වැසි ව ෝ,
,,,,,,"ගිගුරුම් සහිත වැසි,",,,"ගිගුරුම් සහිත වැසි,",
,,,,,,ඇතැම් ස්ථාන වලට,,,ඇතැම් ස්ථාන වලට,
,,,,,,මි.මි. 100 ට වැඩි තද,,,මි.මි. (75-100) දක්වා,
,,,,,,වැසි,,,තරමක තද වැසි,
,වවුනියා,,විටින් විට වැසි ව ෝ,,,විටින් විට වැසි ව ෝ,,,විටින් විට වැසි ව ෝ,
,,,"ගිගුරුම් සහිත වැසි,",,,"ගිගුරුම් සහිත වැසි,",,,"ගිගුරුම් සහිත වැසි,",
,,,ඇතැම් ස්ථාන වලට,,,ඇතැම් ස්ථාන වලට,,,ඇතැම් ස්ථාන වලට,
,,,මි.මි. (50-75) දක්වා,,,මි.මි. (75-100) දක්වා,,,මි.මි. (50-75) දක්වා,
,,,තරමක තද වැසි,,,තරමක තද වැසි,,,තරමක තද වැසි,
,මන්නාරම,,විටින් විට වැසි ව ෝ,,,විටින් විට වැසි ව ෝ,,"විටින් විට වැසි ව ෝ
ගිගුරුම් සහිත වැසි",,
,,,"ගිගුරුම් සහිත වැසි,",,,"ගිගුරුම් සහිත වැසි,",,,,
,,,(50-75) දක්වා තරමක,,,(50-75) දක්වා,,,,
,,,තද වැසි,,,තරමක තද වැසි,,,,
,කිලිවනාච්චි,,විටින් විට වැසි ව ෝ,,,විටින් විට වැසි ව ෝ,,,විටින් විට වැසි ව ෝ,
,,,"ගිගුරුම් සහිත වැසි,",,,"ගිගුරුම් සහිත වැසි,",,,"ගිගුරුම් සහිත වැසි,",
,,,(50-75) දක්වා තරමක,,,(75-100) දක්වා,,,(75-100) දක්වා,
,,,තද වැසි,,,තරමක තද වැසි.,,,තරමක තද වැසි.,
