மாைாணம்,ஜன 08,,,ஜன 09,,,ஜன 10,,
வடக்கு,"அவ்வப்பபாது 50-60
ைிபலா மீற்றர் வகர
பலத்ெ ைாற்று",,,,60-70 ைிபலா மீற்றர் வகர,,"அவ்வப்பபாது 60-70
ைிபலா மீற்றர் வகர
மிைப் பலத்ெ ைாற்று",,
,,,,,மிைப் பலத்ெ ைாற்று;,,,,
,,,,,அவ்வப்பபாது 80 ைிபலா,,,,
,,,,,மீற்றர் வகர அெிைாிக்ைக்,,,,
,,,,,கூடும்,,,,
வடமத்ெிய,,அவ்வப்பபாது 50-60,,"அவ்வப்பபாது 50-60 ைிபலா
மீற்றர் வகர பலத்ெ ைாற்று",அவ்வப்பபாது 50-60 ைிபலா,,,அவ்வப்பபாது 50-60,
,,ைிபலா மீற்றர் வகர,,,மீற்றர் வகர பலத்ெ ைாற்று,,,ைிபலா மீற்றர் வகர,
,,பலத்ெ ைாற்று,,,,,,பலத்ெ ைாற்று,
ைிழக்கு,"அவ்வப்பபாது 50-60
ைிபலா மீற்றர் வகர
பலத்ெ ைாற்று",அவ்வப்பபாது 50-60,,,60-70 ைிபலா மீற்றர் வகர,,"அவ்வப்பபாது 50-60
ைிபலா மீற்றர் வகர
பலத்ெ ைாற்று",அவ்வப்பபாது 50-60,
,,ைிபலா மீற்றர் வகர,,,மிைப் பலத்ெ ைாற்று;,,,ைிபலா மீற்றர் வகர,
,,பலத்ெ ைாற்று,,,அவ்வப்பபாது 80 ைிபலா,,,பலத்ெ ைாற்று,
,,,,,மீற்றர் வகர அெிைாிக்ைக்,,,,
,,,,,கூடும்,,,,
சப்ரைமுவ,,அவ்வப்பபாது 40-50,,,அவ்வப்பபாது 40-50 ைிபலா,,,அவ்வப்பபாது 30-40,
,,ைிபலா மீற்றர் வகர,,,மீற்றர் வகர ஓரளவு பலத்ெ,,,ைிபலா மீற்றர் வகர,
,,ஓரளவு பலத்ெ ைாற்று,,,ைாற்று,,,ைாற்று,
பமல்,,அவ்வப்பபாது 50-60,,"அவ்வப்பபாது 50-60 ைிபலா
மீற்றர் வகர பலத்ெ ைாற்று",அவ்வப்பபாது 50-60 ைிபலா,,,அவ்வப்பபாது 40-50,
,,ைிபலா மீற்றர் வகர,,,மீற்றர் வகர பலத்ெ ைாற்று,,,ைிபலா மீற்றர் வகர,
,,பலத்ெ ைாற்று,,,,,,ஓரளவு பலத்ெ ைாற்று,
தென்,,அவ்வப்பபாது 30-40,,"அவ்வப்பபாது 30-40 ைிபலா
மீற்றர் வகர ைாற்று",,,,அவ்வப்பபாது 30-40,
,,ைிபலா மீற்றர் வகர,,,,,,ைிபலா மீற்றர் வகர,
,,ைாற்று,,,,,,ைாற்று,
ஊவா,,அவ்வப்பபாது 50-60,,"அவ்வப்பபாது 50-60 ைிபலா
மீற்றர் வகர பலத்ெ ைாற்று",,,,அவ்வப்பபாது 30-40,
,,ைிபலா மீற்றர் வகர,,,,,,ைிபலா மீற்றர் வகர,
,,பலத்ெ ைாற்று,,,,,,ைாற்று,
வடபமல்,,அவ்வப்பபாது 50-60,,"அவ்வப்பபாது 50-60 ைிபலா
மீற்றர் வகர பலத்ெ ைாற்று",,,,அவ்வப்பபாது 40-50,
,,ைிபலா மீற்றர் வகர,,,,,,ைிபலா மீற்றர் வகர,
,,பலத்ெ ைாற்று,,,,,,ஓரளவு பலத்ெ ைாற்று,
