,,,அெிைமான மிைப்,,,அெிைமான மிைப்,,
,,,பலத்ெ மகழவீழ்ச்சி,,,பலத்ெ மகழவீழ்ச்சி,,
சப்ரைமுவ,இரத்ெினபுாி,,மாகலயில் அல்லது,,,மாகலயில் அல்லது,,"மகழ அல்லது
இடியுடன் கூடிய
மகழ"
,,,இரவில் மகழ,,,இரவில் மகழ,,
,,,அல்லது இடியுடன்,,,அல்லது இடியுடன்,,
,,,கூடிய மகழ,,,கூடிய மகழ,,
,பைைாகல,,மாகலயில் அல்லது,,,மாகலயில் அல்லது,,"மகழ அல்லது
இடியுடன் கூடிய
மகழ"
,,,இரவில் மகழ,,,இரவில் மகழ,,
,,,அல்லது இடியுடன்,,,அல்லது இடியுடன்,,
,,,கூடிய மகழ,,,கூடிய மகழ,,
பமல்,தைாழும்பு,,மாகலயில் அல்லது,,,மாகலயில் அல்லது,,"மகழ அல்லது
இடியுடன் கூடிய
மகழ"
,,,இரவில் மகழ,,,இரவில் மகழ,,
,,,அல்லது இடியுடன்,,,அல்லது இடியுடன்,,
,,,கூடிய மகழ,,,கூடிய மகழ,,
,களுத்துளை,,மாகலயில் அல்லது,,,மாகலயில் அல்லது,,"மகழ அல்லது
இடியுடன் கூடிய
மகழ"
,,,இரவில் மகழ,,,இரவில் மகழ,,
,,,அல்லது இடியுடன்,,,அல்லது இடியுடன்,,
,,,கூடிய மகழ,,,கூடிய மகழ,,
,ைம்பஹா,,மாகலயில் அல்லது,,,மாகலயில் அல்லது,,"மகழ அல்லது
இடியுடன் கூடிய
மகழ"
,,,இரவில் மகழ,,,இரவில் மகழ,,
,,,அல்லது இடியுடன்,,,அல்லது இடியுடன்,,
,,,கூடிய மகழ,,,கூடிய மகழ,,
தென்,ைாலி,,மாகலயில் அல்லது,,,மாகலயில் அல்லது,,"மகழ அல்லது
இடியுடன் கூடிய
மகழ"
,,,இரவில் மகழ,,,இரவில் மகழ,,
,,,அல்லது இடியுடன்,,,அல்லது இடியுடன்,,
,,,கூடிய மகழ,,,கூடிய மகழ,,
,மாத்ெகற,,மாகலயில் அல்லது,,,மாகலயில் அல்லது,,"மகழ அல்லது
இடியுடன் கூடிய
மகழ"
,,,இரவில் மகழ,,,இரவில் மகழ,,
,,,அல்லது இடியுடன்,,,அல்லது இடியுடன்,,
,,,கூடிய மகழ,,,கூடிய மகழ,,
,ஹம்பாந்பொட்கட,அவ்வப்பபாது மகழ,அவ்வப்பபாது மகழ,,,மாகலயில் அல்லது,,"மகழ அல்லது
இடியுடன் கூடிய
மகழ"
,,,,,,இரவில் மகழ,,
,,,,,,அல்லது இடியுடன்,,
,,,,,,கூடிய மகழ,,
ஊவா,தமானராைகல,,அவ்வப்பபாது மகழ,,,அவ்வப்பபாது மகழ,,"அவ்வப்பபாது மகழ
அல்லது இடியுடன்
கூடிய மகழ"
,,,அல்லது இடியுடன்,,,அல்லது இடியுடன்,,
,,,கூடிய மகழ; சில,,,கூடிய மகழ; சில,,
,,,இடங்ைளில் 100,,,இடங்ைளில் 100,,
,,,மி.மீ க்கும்,,,மி.மீ க்கும்,,
