,,,(50-75) දක්වා තරමක,,,මි.මි. 100 ට වැඩි තද,,,මි.මි. 100 ට වැඩි තද,
,,,තද වැසි,,,වැසි,,,වැසි,
,කිලිවනාච්චි,"විටින් විට වැසි වහෝ
ගිගුරුම් සහිත වැසි,
(50-75) දක්වා තරමක
තද වැසි",,,,විටින් විට වැසි වහෝ,,"විටින් විට වැසි වහෝ
ගිගුරුම් සහිත වැසි,
(75-100) දක්වා
තරමක තද වැසි.",,
,,,,,,"ගිගුරුම් සහිත වැසි,",,,,
,,,,,,ඇතැම් ස්ථාන වලට,,,,
,,,,,,මි.මි. (100-150) ක,,,,
,,,,,,පමණ තද වැසි,,,,
උතුරු-මැද,අනුරාධ්‍පුර,"විටින් විට වැසි වහෝ
ගිගුරුම් සහිත වැසි,
(50-75) දක්වා තරමක
තද වැසි",,,,විටින් විට වැසි වහෝ,,"විටින් විට වැසි වහෝ
ගිගුරුම් සහිත වැසි,
(50-75) දක්වා තරමක
තද වැසි",,
,,,,,,"ගිගුරුම් සහිත වැසි,",,,,
,,,,,,ඇතැම් ස්ථාන වලට,,,,
,,,,,,මි.මි. (75-100) දක්වා,,,,
,,,,,,තරමක තද වැසි,,,,
,වපාවලාන්නරුව,,විටින් විට වැසි වහෝ,,,විටින් විට වැසි වහෝ,,"විටින් විට වැසි වහෝ
ගිගුරුම් සහිත වැසි",,
,,,"ගිගුරුම් සහිත වැසි,",,,"ගිගුරුම් සහිත වැසි,",,,,
,,,ඇතැම් ස්ථාන වලට,,,ඇතැම් ස්ථාන වලට,,,,
,,,මි.මි. 100 ට වැඩි තද,,,මි.මි. (100-150) ක,,,,
,,,වැසි,,,පමණ තද වැසි,,,,
නැවගනහිර,ත්‍රිකුණාමලය,"විටින් විට වැසි වහෝ
ගිගුරුම් සහිත වැසි,
ඇතැම් ස්ථාන වලට
මි.මි. 100 ට වැඩි තද
වැසි",,,"විටින් විට වැසි වහෝ
ගිගුරුම් සහිත වැසි,
ඇතැම් ස්ථාන වලට
මි.මි. (100-150) ක
පමණ තද වැසි",,,"විටින් විට වැසි වහෝ
ගිගුරුම් සහිත වැසි,
(50-75) දක්වා
තරමක තද වැසි",,
