පළාත,ජනවාරි 08,,,ජනවාරි 09,,,ජනවාරි 10
උතුර,"විටින් විට පැ.කි.මි.(50-60)
පමණ දක්වා වන තද සුළං",,,,පැ.කි.මී. (60-70) දක්වා,,"පැ.කි.මී. (60-70) දක්වා වන
ඉතා තෙ සුළං සමඟ විටින් විට
හමන පැ.කි.මී. 80 දක්වා වන
ප්‍රහාරාත්මක සුළං"
,,,,,වන ඉතා තෙ සුළං සමඟ,,
,,,,,විටින් විට හමන පැ.කි.මී.,,
,,,,,80 දක්වා වන,,
,,,,,ප්‍රහාරාත්මක සුළං,,
උතුරු-මැෙ,"විටින් විට පැ.කි.මි.(50-60)
පමණ දක්වා වන තද සුළං",,,,පැ.කි.මී. (60-70) දක්වා,,"පැ.කි.මී. (60-70) දක්වා වන
ඉතා තෙ සුළං සමඟ විටින් විට
හමන පැ.කි.මී. 80 දක්වා වන
ප්‍රහාරාත්මක සුළං"
,,,,,වන ඉතා තෙ සුළං සමඟ,,
,,,,,විටින් විට හමන පැ.කි.මී.,,
,,,,,80 දක්වා වන,,
,,,,,ප්‍රහාරාත්මක සුළං,,
නැකගනහිර,"විටින් විට පැ.කි.මි.(50-60)
පමණ දක්වා වන තද සුළං",,,,පැ.කි.මී. (60-70) දක්වා,,"විටින් විට පැ.කි.මි.(50-60)
පමණ දක්වා වන තද සුළං"
,,,,,වන ඉතා තෙ සුළං සමඟ,,
,,,,,විටින් විට හමන පැ.කි.මී.,,
,,,,,80 දක්වා වන,,
,,,,,ප්‍රහාරාත්මක සුළං,,
සබරගමුව,"පැ.කි.මි.(40-50) පමණ
දක්වා වන තරමක තද සුළං",,,"පැ.කි.මි.(40-50) පමණ
දක්වා වන තරමක තද
සුළං",පැ.කි.මි.(40-50) පමණ,,"විටින් විට පැ.කි.මි.(30-40)
පමණ දක්වා වන සුළං"
,,,,,දක්වා වන තරමක තද,,
,,,,,සුළං,,
බස්නාහිර,"විටින් විට පැ.කි.මි.(50-60)
පමණ දක්වා වන තද සුළං",,,,විටින් විට පැ.කි.මි.(50-,,"පැ.කි.මි.(40-50) පමණ දක්වා
වන තරමක තද සුළං"
,,,,,60) පමණ දක්වා වන තද,,
,,,,,සුළං,,
දකුණ,,,,"විටින් විට පැ.කි.මි.(30-
40) පමණ දක්වා වන සුළං",,,"විටින් විට පැ.කි.මි.(30-40)
පමණ දක්වා වන සුළං"
,,විටින් විට පැ.කි.මි.(30-40),,,,,
,,පමණ දක්වා වන සුළං,,,,,
ඌව,"විටින් විට පැ.කි.මි.(50-60)
පමණ දක්වා වන තද සුළං",විටින් විට පැ.කි.මි.(50-60),,,විටින් විට පැ.කි.මි.(50-,,"විටින් විට පැ.කි.මි.(30-40)
පමණ දක්වා වන සුළං"
,,පමණ දක්වා වන තද සුළං,,,60) පමණ දක්වා වන තද,,
,,,,,සුළං,,
වයඹ,"විටින් විට පැ.කි.මි.(50-60)
පමණ දක්වා වන තද සුළං",,,,විටින් විට පැ.කි.මි.(50-,,"විටින් විට පැ.කි.මි.(50-60)
පමණ දක්වා වන තද සුළං"
,,,,,60) පමණ දක්වා වන තද,,
,,,,,සුළං,,
මධ්‍යම,"විටින් විට පැ.කි.මි.(50-60)
පමණ දක්වා වන තද සුළං",,,,විටින් විට පැ.කි.මි.(60-,,"පැ.කි.මි.(40-50) පමණ දක්වා
වන තරමක තද සුළං"
,,,,,70) පමණ දක්වා වන ඉතා,,
,,,,,තද සුළං,,
