,Vavuniya,"Showers or
thundershowers
at times; Fairly
heavy rainfall
about (50-75) mm
at some places",,,"Showers or
thundershowers
at times ; Heavy
rainfall above
(100- 150) mm at
some places",,,,Showers or,
,,,,,,,,,thundershowers,
,,,,,,,,,at times; Fairly,
,,,,,,,,,heavy rainfall,
,,,,,,,,,about (75- 100),
,,,,,,,,,mm at some,
,,,,,,,,,places,
,Mannar,"Showers or
thundershowers
at times; Fairly
heavy rainfall
about (50-75) mm
at some places",,,"Showers or
thundershowers
at times ; Heavy
rainfall above 100
mm at some
places",,,,Showers or,
,,,,,,,,,thundershowers,
,,,,,,,,,at times; Fairly,
,,,,,,,,,heavy rainfall,
,,,,,,,,,about (50-75),
,,,,,,,,,mm at some,
,,,,,,,,,places,
,Kilinochchi,,Showers or,,,Showers or,,,Showers or,
,,,thundershowers,,,thundershowers,,,thundershowers,
,,,at times; Fairly,,,at times; Heavy,,,at times; Fairly,
,,,heavy rainfall,,,rainfall above,,,heavy rainfall,
,,,about (50-75) mm,,,(100- 150) mm at,,,about 100 mm,
,,,at some places,,,some places,,,at some places,
North-Central,Anuradhapura,"Showers or
thundershowers
at times; Fairly
heavy rainfall
about (50-75) mm
at some places",Showers or,,,Showers or,,,Showers or,
,,,thundershowers,,,thundershowers,,,thundershowers,
,,,at times; Fairly,,,at times ;Fairly,,,at times; Fairly,
,,,heavy rainfall,,,heavy rainfall,,,heavy rainfall,
,,,about (50-75) mm,,,about (75- 100),,,about (50-75),
,,,at some places,,,mm at some,,,mm at some,
,,,,,,places,,,places,
,Polonnaruwa,,Showers or,,,Showers or,,"Showers or
thundershowers
at times.",,
,,,thundershowers,,,thundershowers,,,,
,,,at times ; Heavy,,,at times ; Heavy,,,,
,,,rainfall above 100,,,rainfall above,,,,
,,,mm at some,,,(100- 150) mm at,,,,
,,,places,,,some places,,,,
Eastern,Trincomalee,"Showers or
thundershowers
at times; Heavy
rainfall above 100
mm at some
places",,,"Showers or
thundershowers
at times; Heavy
rainfall above
(100- 150) mm at
some places",Showers or,,,Showers or,
,,,,,,thundershowers,,,thundershowers,
,,,,,,at times; Heavy,,,at times; Fairly,
,,,,,,rainfall above,,,heavy rainfall,
,,,,,,(100- 150) mm at,,,about (50-75),
,,,,,,some places,,,mm at some,
,,,,,,,,,places,
,Ampara,,Showers or,,,Showers or,,"Showers or
thundershowers
at times.",,
,,,thundershowers,,,thundershowers,,,,
,,,at times; Very,,,at times; Very,,,,
,,,heavy rainfall,,,heavy rainfall,,,,
,,,above 150 mm at,,,above 150 mm at,,,,
,,,some places,,,some places,,,,
,Batticaloa,,Showers or,,,Showers or,,"Showers or
thundershowers",,
,,,thundershowers,,,thundershowers,,,,
,,,at times; Very,,,at times; Very,,,,
,,,heavy rainfall,,,heavy rainfall,,,,
,,,above 150 mm at,,,above 150 mm at,,,,
,,,some places,,,some places,,,,
Sabaragamuwa,Rathnapura,,Showers or,,,Showers or,,"Showers or
thundershowers",,
,,,thundershowers,,,thundershowers,,,,
,,,during the,,,during the,,,,
,,,evening or night.,,,evening or night.,,,,
