පළාත,ජනවාරි 09,,,ජනවාරි 10,,,ජනවාරි 11
උතුර,,පැ.කි.මී. (50-60) දක්වා වන,,"විටින් විට පැ.කි.මි.(50-
60) පමණ දක්වා වන තද
සුළං",,,"පැ.කි.මි.(30-40) පමණ දක්වා
වන තරමක තද සුළං"
,,ඉතා තෙ සුළං සමඟ විටින්,,,,,
,,විට හමන පැ.කි.මී. 70,,,,,
,,දක්වා වන ප්‍රහාරාත්මක,,,,,
,,සුළං,,,,,
උතුරු-මැෙ,,පැ.කි.මී. (50-60) දක්වා වන,,"විටින් විට පැ.කි.මි.(40-
50) පමණ දක්වා වන
තරමක තද සුළං",,,"පැ.කි.මි.(30-40) පමණ දක්වා
වන තරමක තද සුළං"
,,ඉතා තෙ සුළං සමඟ විටින්,,,,,
,,විට හමන පැ.කි.මී. 70,,,,,
,,දක්වා වන ප්‍රහාරාත්මක,,,,,
,,සුළං,,,,,
නැගෙනහිර,,පැ.කි.මී. (50-60) දක්වා වන,,"විටින් විට පැ.කි.මි.(40-
50) පමණ දක්වා වන
තරමක තද සුළං",,,"පැ.කි.මි.(30-40) පමණ දක්වා
වන තරමක තද සුළං"
,,ඉතා තෙ සුළං සමඟ විටින්,,,,,
,,විට හමන පැ.කි.මී. 70,,,,,
,,දක්වා වන ප්‍රහාරාත්මක,,,,,
,,සුළං,,,,,
සබරගමුව,"පැ.කි.මි.(30-40) පමණ
දක්වා වන තරමක තද සුළං",පැ.කි.මි.(30-40) පමණ,,,පැ.කි.මි.(30-40) පමණ,,"පැ.කි.මි.(25-35) පමණ මඳ
සුළං"
,,දක්වා වන තරමක තද සුළං,,,දක්වා වන තරමක තද,,
,,,,,සුළං,,
බස්නාහිර,"විටින් විට පැ.කි.මි.(50-60)
පමණ දක්වා වන තද සුළං",,,"පැ.කි.මි.(30-40) පමණ
දක්වා වන තරමක තද
සුළං",පැ.කි.මි.(30-40) පමණ,,"පැ.කි.මි.(30-40) පමණ දක්වා
වන තරමක තද සුළං"
,,,,,දක්වා වන තරමක තද,,
,,,,,සුළං,,
දකුණ,"පැ.කි.මි.(30-40) පමණ
දක්වා වන තරමක තද සුළං",,,,පැ.කි.මි.(30-40) පමණ,,"පැ.කි.මි.(20-30) පමණ මඳ
සුළං"
,,,,,දක්වා වන තරමක තද,,
,,,,,සුළං,,
ඌව,"විටින් විට පැ.කි.මි.(50-60)
පමණ දක්වා වන තද සුළං",,,,පැ.කි.මි.(30-40) පමණ,,"පැ.කි.මි.(20-30) පමණ මඳ
සුළං"
,,,,,දක්වා වන තරමක තද,,
,,,,,සුළං,,
වයඹ,"විටින් විට පැ.කි.මි.(50-60)
පමණ දක්වා වන තද සුළං",,,,විටින් විට පැ.කි.මි.(40-,,"පැ.කි.මි.(25-35) පමණ දක්වා
වන තරමක තද සුළං"
,,,,,50) පමණ දක්වා වන,,
,,,,,තරමක තද සුළං,,
මධ්‍යම,"විටින් විට පැ.කි.මි.(50-60)
පමණ දක්වා වන තද සුළං",,,,පැ.කි.මි.(40-50) පමණ,,"පැ.කි.මි.(20-30) පමණ මඳ
සුළං"
,,,,,දක්වා වන තරමක තද,,
,,,,,සුළං,,
