,මාතර,,සවස් කාලවේදී වහෝ,,,සවස් කාලවේදී වහෝ,,,සවස් කාලවේදී වහෝ,
,,,රාත්‍රී කාලවේදී වැසි,,,රාත්‍රී කාලවේදී වැසි,,,රාත්‍රී කාලවේදී වැසි,
,,,වහෝ ගිගුරුම් සහිත,,,වහෝ ගිගුරුම් සහිත,,,වහෝ ගිගුරුම් සහිත,
,,,වැසි ඇති විය හැක,,,වැසි ඇති විය හැක,,,වැසි ඇති විය හැක,
,හම්බන්වතාට,,වැසි ස්වල්පයක්,,,වැසි ස්වල්පයක්,,,වැසි ස්වල්පයක්,
ඌව,වමාණරාගල,,වැසි වාර කීපයක්.,,,වැසි වාර කීපයක්.,,,වැසි වාර කීපයක්.,
,බදුල්ල,"විටින් විට වැසි වහෝ
ගිගුරුම් සහිත වැසි.",විටින් විට වැසි වහෝ,,"සවස් කාලවේදී වහෝ
රාත්‍රී කාලවේදී වැසි
වහෝ ගිගුරුම් සහිත
වැසි ඇති විය හැක",සවස් කාලවේදී වහෝ,,,සවස් කාලවේදී,
,,,ගිගුරුම් සහිත වැසි.,,,රාත්‍රී කාලවේදී වැසි,,,වහෝ රාත්‍රී කාලවේදී,
,,,,,,වහෝ ගිගුරුම් සහිත,,,වැසි වහෝ ගිගුරුම්,
,,,,,,වැසි ඇති විය හැක,,,සහිත වැසි ඇති විය,
,,,,,,,,,හැක,
වයඹ,කුරුණෑගල,වැසි වාර කීපයක්.,,,වැසි ස්වල්පයක්,,,"ප්‍රධ්‍ාන වශවයන්
වැසි රහිත.",ප්‍රධ්‍ාන වශවයන්,
,,,,,,,,,වැසි රහිත.,
,පුත්තලම,වැසි වාර කීපයක්.,,,"ප්‍රධ්‍ාන වශවයන් වැසි
රහිත.",,,"ප්‍රධ්‍ාන වශවයන්
වැසි රහිත.",,
මධ්‍යම,මහනුවර,,විටින් විට වැසි වහෝ,,"සවස් කාලවේදී වහෝ
රාත්‍රී කාලවේදී වැසි
වහෝ ගිගුරුම් සහිත
වැසි ඇති විය හැක",,,"සවස් කාලවේදී වහෝ
රාත්‍රී කාලවේදී වැසි
වහෝ ගිගුරුම් සහිත
වැසි ඇති විය හැක",,
,,,"ගිගුරුම් සහිත වැසි,",,,,,,,
,,,ඇතැම් සථ් ාන වලට,,,,,,,
,,,මි.මි. 50 ක පමණ,,,,,,,
,,,තරමක තද වැසි,,,,,,,
,නුවරඑළිය,,විටින් විට වැසි වහෝ,,"සවස් කාලවේදී වහෝ
රාත්‍රී කාලවේදී වැසි
වහෝ ගිගුරුම් සහිත
වැසි ඇති විය හැක",,,"සවස් කාලවේදී වහෝ
රාත්‍රී කාලවේදී වැසි
වහෝ ගිගුරුම් සහිත
වැසි ඇති විය හැක",,
,,,"ගිගුරුම් සහිත වැසි,",,,,,,,
,,,ඇතැම් සථ් ාන වලට,,,,,,,
,,,මි.මි. 50 ක පමණ,,,,,,,
,,,තරමක තද වැසි,,,,,,,
,මාතවල්,,විටින් විට වැසි වහෝ,,වැසි වාර කීපයක්.,,,"සවස් කාලවේදී වහෝ
රාත්‍රී කාලවේදී වැසි
වහෝ ගිගුරුම් සහිත
වැසි ඇති විය හැක",,
,,,"ගිගුරුම් සහිත වැසි,",,,,,,,
,,,ඇතැම් ස්ථාන වලට,,,,,,,
,,,මි.මි. (50-75) ක,,,,,,,
,,,පමණ තරමක තද,,,,,,,
,,,වැසි,,,,,,,
