மாைாணம்,மாவட்டம்,ஜன 09,,,ஜன 10,,,ஜன 11
வடக்கு,முல்கலத்தீவு,"அவ்வப்மபாது மகழ
அல்லது இடியுடன்
கூடிய மகழ; சில
இடங்ைளில் 100 மி.மீ
க்கும் அதிைமான
பலத்த மகழவீழ்ச்சி",,,,அவ்வப்மபாது,,"பல தடகவைள்
மகழ தபய்யும்"
,,,,,,மகழ அல்லது,,
,,,,,,இடியுடன் கூடிய,,
,,,,,,மகழ; சில,,
,,,,,,இடங்ைளில் 50 -75,,
,,,,,,மி.மீ வகையான,,
,,,,,,ஓைளவு பலத்த,,
,,,,,,மகழவீழ்ச்சி,,
,யாழ்ப்பாணம்,"அவ்வப்மபாது மகழ
அல்லது இடியுடன்
கூடிய மகழ; சில
இடங்ைளில் 100 மி.மீ
க்கும் அதிைமான
பலத்த மகழவீழ்ச்சி",,,,அவ்வப்மபாது,,"பல தடகவைள்
மகழ தபய்யும்"
,,,,,,மகழ அல்லது,,
,,,,,,இடியுடன் கூடிய,,
,,,,,,மகழ; சில,,
,,,,,,இடங்ைளில் 100,,
,,,,,,மி.மீ க்கும்,,
,,,,,,அதிைமான பலத்த,,
,,,,,,மகழவீழ்ச்சி,,
,வவுனியா,,அவ்வப்மபாது மகழ,,"அவ்வப்மபாது
மகழ அல்லது
இடியுடன் கூடிய
மகழ;",அவ்வப்மபாது,,"பல தடகவைள்
மகழ தபய்யும்"
,,,அல்லது இடியுடன்,,,மகழ அல்லது,,
,,,கூடிய மகழ; சில,,,இடியுடன் கூடிய,,
,,,,,,மகழ;,,
,,,இடங்ைளில் 100 மி.மீ,,,,,
,,,க்கும் அதிைமான,,,,,
,,,பலத்த மகழவீழ்ச்சி,,,,,
,,,,,,,,
