மாைாணம்,ஜன 09,,,ஜன 10,,,ஜன 11,,
வடக்கு,"அவ்வப்மபாது 50-60 ைிமலா
மீற்றர் வகை மிைப் பலத்த
ைாற்று; அவ்வப்மபாது 70
ைிமலா மீற்றர் வகை
அதிைாிக்ைக் கூடும்",,,,அவ்வப்மபாது 50-60,,"அவ்வப்மபாது 30-
40 ைிமலா மீற்றர்
வகை ைாற்று",,
,,,,,ைிமலா மீற்றர் வகை மிைப்,,,,
,,,,,பலத்த ைாற்று;,,,,
,,,,,அவ்வப்மபாது 70 ைிமலா,,,,
,,,,,மீற்றர் வகை அதிைாிக்ைக்,,,,
,,,,,கூடும்,,,,
வடமத்திய,,அவ்வப்மபாது 50-60 ைிமலா,,"அவ்வப்மபாது 40-50
ைிமலா மீற்றர் வகை
ஓைளவு பலத்த ைாற்று",அவ்வப்மபாது 40-50,,"அவ்வப்மபாது 30-
40 ைிமலா மீற்றர்
வகை ைாற்று",,
,,மீற்றர் வகை மிைப் பலத்த,,,ைிமலா மீற்றர் வகை,,,,
,,ைாற்று; அவ்வப்மபாது 70,,,ஓைளவு பலத்த ைாற்று,,,,
,,ைிமலா மீற்றர் வகை,,,,,,,
,,அதிைாிக்ைக் கூடும்,,,,,,,
ைிழக்கு,"அவ்வப்மபாது 50-60 ைிமலா
மீற்றர் வகை மிைப் பலத்த
ைாற்று;",அவ்வப்மபாது 50-60 ைிமலா,,"அவ்வப்மபாது 30-40
ைிமலா மீற்றர் வகை
ைாற்று",,,,அவ்வப்மபாது 25-,
,,மீற்றர் வகை மிைப் பலத்த,,,,,,35 ைிமலா மீற்றர்,
,,ைாற்று;,,,,,,,
,,,,,,,,வகை ைாற்று,
சப்ைைமுவ,"அவ்வப்மபாது 30-40 ைிமலா
மீற்றர் வகை ைாற்று",,,"அவ்வப்மபாது 30-40
ைிமலா மீற்றர் வகை
ைாற்று",,,,அவ்வப்மபாது 25-,
,,,,,,,,35 ைிமலா மீற்றர்,
,,,,,,,,வகை ைாற்று,
மமல்,"அவ்வப்மபாது 50-60 ைிமலா
மீற்றர் வகை பலத்த ைாற்று",,,"அவ்வப்மபாது 40-50
ைிமலா மீற்றர் வகை
பலத்த ைாற்று",,,,அவ்வப்மபாது 30-,
,,,,,,,,40 ைிமலா மீற்றர்,
,,,,,,,,வகை ைாற்று,
ததன்,"அவ்வப்மபாது 30-40 ைிமலா
மீற்றர் வகை ைாற்று",,,"அவ்வப்மபாது 30-40
ைிமலா மீற்றர் வகை
ைாற்று",,,,அவ்வப்மபாது 20-,
,,,,,,,,30 ைிமலா மீற்றர்,
,,,,,,,,வகை ைாற்று,
ஊவா,"அவ்வப்மபாது 40-50 ைிமலா
மீற்றர் வகை பலத்த ைாற்று",,,"அவ்வப்மபாது 30-40
ைிமலா மீற்றர் வகை
ஓைளவு பலத்த ைாற்று",,,,அவ்வப்மபாது 20-,
,,,,,,,,30 ைிமலா மீற்றர்,
,,,,,,,,வகை ைாற்று,
