North-Central,Anuradhapura,,Showers or,,"Several spells of
showers",,,"Several spells of
showers",,
,,,thundershowers,,,,,,,
,,,at times; Fairly,,,,,,,
,,,heavy rainfall,,,,,,,
,,,about (50- 75),,,,,,,
,,,mm at some,,,,,,,
,,,places,,,,,,,
,Polonnaruwa,"Showers at
times.",Showers at,,"Several spells of
showers",,,,Several spells of,
,,,times.,,,,,,showers,
Eastern,Trincomalee,,Showers or,,"Showers or
thundershowers
at times.",,,"Several spells of
showers",Several spells of,
,,,thundershowers,,,,,,showers,
,,,at times ; Heavy,,,,,,,
,,,rainfall above,,,,,,,
,,,100 mm at,,,,,,,
,,,some places,,,,,,,
,Ampara,"Several spells of
showers",Several spells of,,"Several spells of
showers",,,,Several spells of,
,,,showers,,,,,,showers,
,Batticaloa,"Several spells of
showers",,,,Several spells of,,,Several spells of,
,,,,,,showers,,,showers,
Sabaragamuwa,Rathnapura,,Showers or,,,Showers or,,,Showers or,
,,,thundershowers,,,thundershowers,,,thundershowers,
,,,during the,,,during the,,,during the,
,,,evening or night.,,,evening or night,,,evening or night.,
,Kegalle,,Showers or,,A few showers,,,,Showers or,
,,,thundershowers,,,,,,thundershowers,
,,,during the,,,,,,during the,
,,,evening or night.,,,,,,evening or night.,
Western,Colombo,A few showers,A few showers,,Mainly fair,,,,Showers or,
,,,,,,,,,thundershowers,
,,,,,,,,,during the,
,,,,,,,,,evening or night,
,Kaluthara,A few showers,,,,Showers or,,,Showers or,
,,,,,,thundershowers,,,thundershowers,
,,,,,,during the,,,during the,
,,,,,,evening or night,,,evening or night.,
,Gampaha,A few showers,,,Mainly fair,,,,Showers or,
,,,,,,,,,thundershowers,
,,,,,,,,,during the,
,,,,,,,,,evening or night.,
Southern,Galle,A few showers,,,,Showers or,,,Showers or,
,,,,,,thundershowers,,,thundershowers,
,,,,,,during the,,,during the,
,,,,,,evening or night,,,evening or night.,
,Matara,,Showers or,,,Showers or,,,Showers or,
,,,thundershowers,,,thundershowers,,,thundershowers,
,,,during the,,,during the,,,during the,
,,,evening or night.,,,evening or night,,,evening or night.,
,Hambanthota,A few showers,,,,Showers or,,A few showers,,
,,,,,,thundershowers,,,,
,,,,,,during the,,,,
,,,,,,evening or night,,,,
Uva,Monaragala,"Several spells of
showers",,,"Several spells of
showers",Several spells of,,"Several spells of
showers",,
,,,,,,showers,,,,
