පළාත,දිස්ත්‍රික්කය,ජනවාරි 10,,,ජනවාරි 11,,,ජනවාරි 12,,
උතුර,මුලතිේ,,විටින් විට වැසි වහෝ,,වැසි වාර කීපයක්.,,,වැසි වාර කීපයක්.,,
,,,"ගිගුරුම් සහිත වැසි,",,,,,,,
,,,ඇතැම් ස්ථාන වලට,,,,,,,
,,,මි.මි. (50-75) ක,,,,,,,
,,,පමණ තරමක තද,,,,,,,
,,,වැසි,,,,,,,
,යාපනය,,විටින් විට වැසි වහෝ,,වැසි වාර කීපයක්.,,,වැසි වාර කීපයක්.,,
,,,"ගිගුරුම් සහිත වැසි,",,,,,,,
,,,ඇතැම් ස්ථාන වලට,,,,,,,
,,,මි.මි. 100 ට වැඩි තද,,,,,,,
,,,වැසි,,,,,,,
,වවුනියා,,විටින් විට වැසි වහෝ,,වැසි වාර කීපයක්.,,,වැසි වාර කීපයක්.,,
,,,ගිගුරුම් සහිත වැසි,,,,,,,
,මන්නාරම,,විටින් විට වැසි වහෝ,,වැසි වාර කීපයක්.,,,වැසි වාර කීපයක්.,,
,,,ගිගුරුම් සහිත වැසි,,,,,,,
,කිලිවනාච්චි,,විටින් විට වැසි වහෝ,,වැසි වාර කීපයක්.,,,වැසි වාර කීපයක්.,,
,,,"ගිගුරුම් සහිත වැසි,",,,,,,,
,,,ඇතැම් ස්ථාන වලට,,,,,,,
,,,මි.මි. (75-100) දක්වා,,,,,,,
,,,තරමක තද වැසි,,,,,,,
උතුරු-මැද,අනුරාධ්‍පුර,,වැසි වාර කීපයක්.,,,වැසි වාර කීපයක්.,,,වැසි වාර කීපයක්.,
,වපාවලාන්නරුව,,වැසි වාර කීපයක්.,,,වැසි වාර කීපයක්.,,,වැසි වාර කීපයක්.,
නැවගනහිර,ත්‍රිකුණාමලය,"විටින් විට වැසි වහෝ
ගිගුරුම් සහිත වැසි",,,වැසි වාර කීපයක්.,වැසි වාර කීපයක්.,,"විටින් විට වැසි වහෝ
ගිගුරුම් සහිත වැසි",විටින් විට වැසි වහෝ,
,,,,,,,,,ගිගුරුම් සහිත වැසි,
,අම්පාර,,වැසි වාර කීපයක්.,,,වැසි වාර කීපයක්.,,,වැසි වාර කීපයක්.,
,මඩකලපුව,වැසි වාර කීපයක්.,වැසි වාර කීපයක්.,,වැසි වාර කීපයක්.,වැසි වාර කීපයක්.,,,විටින් විට වැසි වහෝ,
,,,,,,,,,ගිගුරුම් සහිත වැසි,
