සබරගමුව,රත්නපුර,,සවස් කාලවේදී වහෝ,,,සවස් කාලවේදී වහෝ,,,සවස් කාලවේදී වහෝ,
,,,රාත්‍රී කාලවේදී වැසි,,,රාත්‍රී කාලවේදී වැසි,,,රාත්‍රී කාලවේදී වැසි,
,,,වහෝ ගිගුරුම් සහිත,,,වහෝ ගිගුරුම් සහිත,,,වහෝ ගිගුරුම් සහිත,
,,,වැසි ඇති විය හැක,,,වැසි ඇති විය හැක,,,වැසි ඇති විය හැක,
,කෑගල්ල,වැසි ස්වල්පයක්,වැසි ස්වල්පයක්,,,සවස් කාලවේදී වහෝ,,,සවස් කාලවේදී වහෝ,
,,,,,,රාත්‍රී කාලවේදී වැසි,,,රාත්‍රී කාලවේදී වැසි,
,,,,,,වහෝ ගිගුරුම් සහිත,,,වහෝ ගිගුරුම් සහිත,
,,,,,,වැසි ඇති විය හැක,,,වැසි ඇති විය හැක,
බස්නාහිර,වකාළඹ,"ප්‍රධ්‍ාන වශවයන් වැසි
රහිත.",,,,සවස් කාලවේදී වහෝ,,,සවස් කාලවේදී වහෝ,
,,,,,,රාත්‍රී කාලවේදී වැසි,,,රාත්‍රී කාලවේදී වැසි,
,,,,,,වහෝ ගිගුරුම් සහිත,,,වහෝ ගිගුරුම් සහිත,
,,,,,,වැසි ඇති විය හැක,,,වැසි ඇති විය හැක,
,කළුතර,,සවස් කාලවේදී වහෝ,,,සවස් කාලවේදී වහෝ,,,සවස් කාලවේදී වහෝ,
,,,රාත්‍රී කාලවේදී වැසි,,,රාත්‍රී කාලවේදී වැසි,,,රාත්‍රී කාලවේදී වැසි,
,,,වහෝ ගිගුරුම් සහිත,,,වහෝ ගිගුරුම් සහිත,,,වහෝ ගිගුරුම් සහිත,
,,,වැසි ඇති විය හැක,,,වැසි ඇති විය හැක,,,වැසි ඇති විය හැක,
,ගම්පහ,"ප්‍රධ්‍ාන වශවයන් වැසි
රහිත.",ප්‍රධ්‍ාන වශවයන් වැසි,,,සවස් කාලවේදී වහෝ,,,සවස් කාලවේදී වහෝ,
,,,රහිත.,,,රාත්‍රී කාලවේදී වැසි,,,රාත්‍රී කාලවේදී වැසි,
,,,,,,වහෝ ගිගුරුම් සහිත,,,වහෝ ගිගුරුම් සහිත,
,,,,,,වැසි ඇති විය හැක,,,වැසි ඇති විය හැක,
