Sabaragamuwa,,Fairly strong winds,,"Winds up to
(25-35) kmph at
times",,,"Winds up to
(20-30) kmph at
times",,
,,up to (30-40) kmph at,,,,,,,
,,times,,,,,,,
Western,"Strong winds
(40-50) kmph at times",,,"Winds up to
(25-35) kmph at
times",,,"Winds up to
(20-30) kmph at
times",,
Southern,"Winds up to
(25-35) kmph at times",,,,Winds up to,,,Winds up to,
,,,,,(20-30) kmph at,,,(20-30) kmph at,
,,,,,times,,,times,
Uva,,Fairly strong winds up,,,Winds up to,,,Winds up to,
,,to (30-40) kmph at,,,(20-30) kmph at,,,(20-30) kmph at,
,,times,,,times,,,times,
North-Western,"Strong winds
(40-50) kmph at times",,,"Winds up to
(25-35) kmph at
times",Winds up to,,"Winds up to
(20-30) kmph at
times",Winds up to,
,,,,,(25-35) kmph at,,,(20-30) kmph at,
,,,,,times,,,times,
Central,"Strong winds
(40-50) kmph at times",,,"Winds up to
(20-30) kmph at
times",,,"Winds up to
(20-30) kmph at
times",,
