Province,District,10th Jan.,,,11th Jan.,12th Jan.
Northern,Mullaittivu,,Showers or,,"Several spells of
showers","Several spells of
showers"
,,,thundershowers,,,
,,,at times ;Fairly,,,
,,,heavy rainfall,,,
,,,about (50-75),,,
,,,mm at some,,,
,,,places,,,
,Jaffna,,Showers or,,"Several spells of
showers","Several spells of
showers"
,,,thundershowers,,,
,,,at times ; Heavy,,,
,,,rainfall above,,,
,,,100 mm at some,,,
,,,places,,,
,Vavuniya,"Showers or
thundershowers
at times",Showers or,,"Several spells of
showers","Several spells of
showers"
,,,thundershowers,,,
,,,at times,,,
,Mannar,"Showers or
thundershowers
at times",,,"Several spells of
showers","Several spells of
showers"
,Kilinochchi,,Showers or,,"Several spells of
showers","Several spells of
showers"
,,,thundershowers,,,
,,,at times; Fairly,,,
,,,heavy rainfall,,,
,,,about (75- 100),,,
,,,mm at some,,,
,,,places,,,
North-Central,Anuradhapura,"Several spells of
showers",Several spells of,,"Several spells of
showers","Several spells of
showers"
,,,showers,,,
