Weather Forecast for Main Cities Date : 12-Jan-2026,,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,29,22,95,85,Showers at times
Batticaloa,28,24,95,80,Showers at times
Colombo,30,23,90,70,Showers or thundershowers after 2.00p.m
Galle,30,24,95,70,Showers or thundershowers after 2.00p.m
Jaffna,29,23,95,80,Showers at times
Kandy,29,20,95,80,Showers or thundershowers are likely after 2.00p.m
Nuwara-Eliya,17,13,95,75,Showers or thundershowers at times
Ratnapura,31,23,95,70,Showers or thundershowers after 2.00p.m
Trincomalee,29,23,95,80,Showers at times
Mannar,28,24,95,80,Showers at times
