ප්‍රධාන්‍ න්‍ගර සදහා කාලගුණ අන්‍ාවැකිය දි න්‍ ය : 2 0 2 6 - 0 1 -13,,,,,
න්‍ගරය,උෂ්ණත්වය(හස. අංශ්‍ක),,සාහේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරොධ්‍පුරය,30,22,95,70,සිහිේ වැසි වොර කිහිපයක්
මඩකලපුව,30,24,95,65,වැසි වොර කිහිපයක්
නකොළඹ,30,23,95,65,සවස 2.00ේ පසුව වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති විය ැක
ෙොල්ල,31,24,95,70,සවස 2.00ේ පසුව වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති විය ැක
යොපනය,30,23,95,70,වැසි වොර කිහිපයක්
ම නුවර,30,20,95,60,වැසි වොර කිහිපයක්
නුවරඑළිය,18,12,95,75,වැසි වොර කිහිපයක්
රත්නපුරය,33,23,95,80,සවස 2.00ේ පසුව වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති නේ
ිකුණොමලය,30,24,95,70,වැසි වොර කිහිපයක්
මේනොරම,30,24,90,60,වැසි වොර කිහිපයක්
