ප්‍රධාන්‍ න්‍ගර සදහා කාලගුණ අන්‍ාවැකිය දි න්‍ ය : 2026-01-18,,,,,
න්‍ගරය,උෂ්ණත්වය(සස. අංශක),,සාසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරොධ්‍පුරය,29,20,95,50,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
මඩකලපුව,29,22,85,70,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
නකොළඹ,31,23,75,40,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
ගොල්තල,29,26,85,70,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
යොපනය,28,20,95,65,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
ම නුවර,28,17,90,55,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
නුවරඑළිය,23,10,95,55,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
රත්තනපුරය,33,22,95,50,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
ිකුණොමලය,29,23,95,60,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
මේනොරම,28,23,75,60,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
