பிரதான நகரங்களுக்கான வானிலை முன்னறிவித்தல் தி க தி : 2 0 2 6-01-18,,,,,
நகரம்,வவப்பநிலை (0C),,சாரீரப்பதன் (%),,வானிலை
,உச்ச,குலைந்த,உச்ச,குலைந்த,
அனுராதபுரம்,29,20,95,50,பிரதானமாக சீரான வானிலை
மட்டக்களப்பு,29,22,85,70,பிரதானமாக சீரான வானிலை
வகாழும்பு,31,23,75,40,பிரதானமாக சீரான வானிலை
காலி,29,26,85,70,பிரதானமாக சீரான வானிலை
யாழ்ப்பாணம்,28,20,95,65,பிரதானமாக சீரான வானிலை
கண்டி,28,17,90,55,பிரதானமாக சீரான வானிலை
நுவவரலியா,23,10,95,55,பிரதானமாக சீரான வானிலை
இரத்தினபுரி,33,22,95,50,பிரதானமாக சீரான வானிலை
திருககாணமலை,29,23,95,60,பிரதானமாக சீரான வானிலை
மன்னார்,28,23,75,60,பிரதானமாக சீரான வானிலை
