ප්‍රධාන්‍ න්‍ගර සදහා කාලගුණ අන්‍ාවැකිය දි න්‍ ය : 2 0 2 6 - 0 1 -20,,,,,
න්‍ගරය,උෂ්ණත්වය(සස. අංශක),,සාසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරොධ්‍පුරය,29,19,95,55,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
මඩකලපුව,30,23,85,65,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
නකොළඹ,32,22,85,60,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
ගොල්ල,29,23,85,70,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
යොපනය,28,19,85,55,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
ම නුවර,30,16,95,55,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
නුවරඑළිය,23,9,90,40,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
රත්තනපුරය,34,21,95,50,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
ිකුණොමලය,29,22,90,60,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
මේනොරම,28,22,95,60,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
