ප්‍රධාන්‍ න්‍ගර සදහා කාලගුණ අන්‍ාවැකිය දි න්‍ ය : 2 0 2 6 - 0 1 -25,,,,,
න්‍ගරය,උෂ්ණත්වය(ලස. අංශ්‍ක),,සාලේක්ෂ ආර්රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,29,22,95,70,වැසි වාර කිහිපයක්
මඩකලපුව,29,23,95,70,විටින් විට වැසි
ගකාළඹ,30,23,90,60,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ොේල,30,24,95,75,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,29,23,95,75,විටින් විට වැසි
මහනුවර,31,20,95,65,වැසි වාර කිහිපයක්
නුවරඑළිය,22,9,95,60,විටින් විට වැසි
රත්නපුරය,34,22,95,55,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ිකුණාමලය,29,24,95,70,විටින් විට වැසි
මන්නාරම,29,24,95,75,විටින් විට වැසි
