ප්‍රධාන නගර සදහා කාලගුණ අනාවැකිය දි න ය : 2 0 2 6 - 0 1 -27,,,,,
නගරය,උෂණ් ත්වය(සස. අංශක),,සාසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,30,22,95,70,වැසි සව් ල්පයක්
මඩකලපුව,29,23,95,70,වැසි සව් ල්පයක්
කකාළඹ,30,23,90,60,සවස 2.00න් පසුව වැසි කහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ගාල්ල,30,24,95,75,සවස 2.00න් පසුව වැසි කහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,29,23,95,75,වැසි සව් ල්පයක්
මහනුවර,31,20,95,65,ප්‍රධාන වශකයන් වැසි රහිත
නුවරඑළිය,22,9,95,60,සවස 2.00න් පසුව වැසි කහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
රත්නපුරය,34,21,95,55,සවස 2.00න් පසුව වැසි කහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ත්‍රිකුණාමලය,29,24,95,70,වැසි සව් ල්පයක්
මන්නාරම,29,24,95,75,වැසි සව් ල්පයක්
