Weather Forecast for Main Cities Date : 31-Jan-2026,,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,29,22,95,60,Showers at times
Batticaloa,29,24,95,70,Showers at times
Colombo,31,24,85,55,Showers or thundershowers after 2.00p.m
Galle,30,25,95,70,Showers or thundershowers after 2.00p.m
Jaffna,29,21,95,55,Showers at times
Kandy,29,20,90,50,Showers at times
Nuwara-Eliya,19,14,95,40,Several spells of showers
Ratnapura,34,22,95,45,Showers or thundershowers are likely after 2.00p.m
Trincomalee,28,22,80,65,Showers at times
Mannar,29,25,80,60,Several spells of showers
