දින්‍ය : 2026-02-07,,,,,
න්‍ගරය,උෂ්ණත්වය(පස. අංශ්‍ක),,සාපේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,29,23,95,65,වැසි වාර කිහිපයක්
මඩකලපුව,29,24,95,80,විටින් විට වැසි
තකාළඹ,31,25,90,60,සවස 2.00න් පසුව වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති තේ
ගාේල,29,24,95,80,සවස 2.00න් පසුව වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති තේ
යාපනය,29,23,85,70,වැසි වාර කිහිපයක්
මහනුවර,27,22,90,65,සවස 2.00න් පසුව වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
නුවරඑළිය,20,15,95,65,සවස 2.00න් පසුව වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති තේ
රේනපුරය,32,23,95,70,සවස 2.00න් පසුව වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති තේ
ිකුණාමලය,29,24,95,75,වැසි වාර කිහිපයක්
මන්නාරම,30,26,90,75,සිහින් වැසි වාර කිහිපයක්
