பிரதான நகரங்களுக்கான வானிலை முன்னறிவித்தல் தி க தி : 2 0 2 6 - 0 2 - 1 4,,,,,
நகரம்,வவப்பநிலை (0C),,சாரீரப்பதன் (%),,வானிலை
,உச்ச,குலைந்த,உச்ச,குலைந்த,
அனுராதபுரம்,28,23,95,65,அவ்வப்பபாது மலை வபய்யும்
மட்டக்களப்பு,28,24,90,75,அவ்வப்பபாது மலை வபய்யும்
வகாழும்பு,28,24,85,55,"பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை வபய்யும்
சாத்தியம்"
காலி,29,24,90,70,"பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை வபய்யும்
சாத்தியம்"
யாழ்ப்பாணம்,30,23,85,70,அவ்வப்பபாது மலை வபய்யும்
கண்டி,27,21,95,60,"பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை வபய்யும்
சாத்தியம்"
நுவவரலியா,19,13,95,60,அவ்வப்பபாது மலை வபய்யும்
இரத்தினபுரி,33,22,95,55,பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை வபய்யும்
திருபகாணமலை,28,24,85,70,அவ்வப்பபாது மலை வபய்யும்
மன்னார்,30,25,85,70,அடிக்கடி மலை வபய்யும்
