Weather Forecast for Main Cities Date : 22-Feb-2026,,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,29,23,95,70,Showers or thundershowers are likely after 2.00p.m
Batticaloa,29,24,95,80,Several spells of showers
Colombo,31,25,95,65,Showers or thundershowers after 2.00p.m
Galle,29,24,95,75,Showers or thundershowers after 2.00p.m
Jaffna,29,24,90,70,A few showers
Kandy,27,20,95,85,Showers or thundershowers after 2.00p.m
Nuwara-Eliya,18,13,95,70,Showers or thundershowers are likely after 2.00p.m
Ratnapura,31,24,95,70,Showers or thundershowers after 2.00p.m
Trincomalee,29,24,95,75,Several spells of showers
Mannar,30,25,90,75,Several spells of showers
