දින්‍ය : 2026-03-20,,,,,
න්‍ගරය,උෂ්ණත්වය(හස. අංශ්‍ක),,සාහේක්ෂ ආර්තරතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරොධ්‍පුරය,33,22,95,50,සවස 2.00ේ පසුව වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති විය ැක
මඩකලපුව,32,26,90,70,වැසි සරවල්පයක්
නකොළඹ,33,25,85,55,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
ගොල්ල,32,25,90,70,සවස 2.00ේ පසුව වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති විය ැක
යොපනය,33,23,90,60,සවස 2.00ේ පසුව වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති විය ැක
ම නුවර,32,20,95,55,සවස 2.00ේ පසුව වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති විය ැක
නුවරඑළිය,23,11,95,60,සවස 2.00ේ පසුව වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති විය ැක
රත්නපුරය,37,22,95,55,සවස 2.00ේ පසුව වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති විය ැක
ිකුණොමලය,33,24,90,65,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
මේනොරම,33,24,90,65,සවස 2.00ේ පසුව වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති විය ැක
