Weather Forecast for Main Cities Date : 25-Mar-2026,,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,34,23,90,45,Mainly fair
Batticaloa,31,25,85,65,Mainly fair
Colombo,33,26,90,65,Mainly fair
Galle,33,26,90,65,Showers or thundershowers are likely after 2.00p.m
Jaffna,34,23,90,55,Mainly fair
Kandy,33,19,95,45,Mainly fair
Nuwara-Eliya,22,10,85,35,Showers or thundershowers are likely after 2.00p.m
Ratnapura,36,24,95,50,Showers or thundershowers are likely after 2.00p.m
Trincomalee,32,25,85,55,Mainly fair
Mannar,33,23,90,65,Mainly fair
