"Weather Forecast for Main Cities
Date : 26-Mar-2026",,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,34,23,90,45,Mainly fair
Batticaloa,32,25,90,60,Mainly fair
Colombo,33,26,90,60,Mainly fair
Galle,34,25,95,70,Showers or thundershowers are likely after 2.00p.m
Jaffna,34,22,95,60,Mainly fair
Kandy,33,19,90,50,Mainly fair
Nuwara-Eliya,21,10,85,35,Showers or thundershowers are likely after 2.00p.m
Ratnapura,36,24,95,40,Showers or thundershowers are likely after 2.00p.m
Trincomalee,32,24,95,55,Mainly fair
Mannar,33,23,90,55,Mainly fair
