දිනය : 2026-03-30,,,,,
නගරය,උෂණ් ත්වය(සෙ. අංශක),,ොසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,35,24,95,40,ප්‍රධාන වශයයන් වැසි රහිත
මඩකලපුව,31,24,90,70,ප්‍රධාන වශයයන් වැසි රහිත
යකාළඹ,33,27,85,65,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ගාල්ල,32,26,90,65,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,34,25,85,55,ප්‍රධාන වශයයන් වැසි රහිත
මහනුවර,33,21,95,45,ප්‍රධාන වශයයන් වැසි රහිත
නුවරඑළිය,23,10,85,40,ප්‍රධාන වශයයන් වැසි රහිත
රත්නපුරය,37,24,95,45,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ත්‍රිකුණාමලය,33,24,90,60,ප්‍රධාන වශයයන් වැසි රහිත
මන්නාරම,33,26,95,60,ප්‍රධාන වශයයන් වැසි රහිත
