දින්‍ය : 2026-04-05,,,,,
න්‍ගරය,උ්්ණත්වය(ප්‍රස. අංශ්‍ක),,සාප්‍රේක්් ආර්රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,34,25,95,50,ප්‍රධ්‍ාන වශගයන් වැසි රහිත
මඩකලපුව,32,26,95,65,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ගකාළඹ,33,27,85,60,සිහින් වැසි වාර කිහිපයක්
ගාල්ල,32,27,85,70,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,34,26,95,60,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
මහනුවර,30,22,95,65,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
නුවරඑළිය,23,13,95,65,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
රත්නපුරය,35,24,95,55,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ිකුණාමලය,36,24,95,65,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
මන්නාරම,35,29,95,75,ප්‍රධ්‍ාන වශගයන් වැසි රහිත
