Date : 7-Apr-2026,,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,35,25,90,50,Showers or thundershowers after 2.00p.m
Batticaloa,33,26,90,65,Showers or thundershowers are likely after 2.00p.m
Colombo,34,28,75,65,Showers or thundershowers are likely after 2.00p.m
Galle,31,28,80,70,Showers or thundershowers after 2.00p.m
Jaffna,34,25,85,65,Showers or thundershowers are likely after 2.00p.m
Kandy,32,21,95,60,Showers or thundershowers after 2.00p.m
Nuwara-Eliya,22,13,95,70,Showers or thundershowers after 2.00p.m
Ratnapura,35,25,95,60,Showers or thundershowers after 2.00p.m
Trincomalee,37,27,90,50,Showers or thundershowers after 2.00p.m
Mannar,34,29,85,75,Showers or thundershowers after 2.00p.m
