Weather Forecast for Main Cities Date : 9-Apr-2026,,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,35,25,90,60,Mainly fair
Batticaloa,33,26,90,70,Mainly fair
Colombo,34,28,80,60,Showers or thundershowers are likely after 2.00p.m
Galle,33,26,80,75,Showers or thundershowers are likely after 2.00p.m
Jaffna,33,25,90,65,Mainly fair
Kandy,33,23,95,55,Showers or thundershowers are likely after 2.00p.m
Nuwara-Eliya,24,12,95,50,Showers or thundershowers are likely after 2.00p.m
Ratnapura,34,24,95,65,Showers or thundershowers are likely after 2.00p.m
Trincomalee,35,26,95,60,Mainly fair
Mannar,34,28,95,70,Showers or thundershowers are likely after 2.00p.m
