දින්‍ය : 2026-04-09,,,,,
න්‍ගරය,උ්නණත්වය(ප්‍රස. අංශ්‍ක),,සාප්‍රප්ක්් ආර්රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,35,25,90,60,ප්‍රධාන වශමයන් වැසි රහිත
මඩකලපුව,33,26,90,70,ප්‍රධාන වශමයන් වැසි රහිත
මකාළඹ,34,28,80,60,සවස 2.00න් පසුව වැසි මහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ගාල්ල,33,26,80,75,සවස 2.00න් පසුව වැසි මහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,33,25,90,65,ප්‍රධාන වශමයන් වැසි රහිත
මහනුවර,33,23,95,55,සවස 2.00න් පසුව වැසි මහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
නුවරඑළිය,24,12,95,50,සවස 2.00න් පසුව වැසි මහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
රත්නපුරය,34,24,95,65,සවස 2.00න් පසුව වැසි මහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ිකුණාමලය,35,26,95,60,ප්‍රධාන වශමයන් වැසි රහිත
මන්නාරම,34,28,95,70,සවස 2.00න් පසුව වැසි මහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
