දිනය : 2026-04-19,,,,,
න රය,උෂණ් ත්තවය(ගස. අංශක),,සාගේක්ෂ ආේරතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,35,26,90,55,ප්‍රධාන වශයයන් වැසි රහිත
මඩකලපුව,33,26,90,70,ප්‍රධාන වශයයන් වැසි රහිත
යකාළඹ,33,27,90,65,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ගාල්ල,32,27,90,70,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,35,26,95,60,ප්‍රධාන වශයයන් වැසි රහිත
මහනුවර,33,23,95,60,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
නුවරඑළිය,24,9,95,55,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
රත්නපුරය,34,24,95,60,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ත්‍රිකුණාමලය,34,25,95,60,ප්‍රධාන වශයයන් වැසි රහිත
මන්නාරම,33,26,95,65,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
