Date : 30-Apr-2026,,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,33,25,95,60,Showers or thundershowers after 2.00p.m
Batticaloa,34,26,90,60,Showers or thundershowers after 2.00p.m
Colombo,32,26,90,70,Showers or thundershowers after 2.00p.m
Galle,32,26,90,80,Showers or thundershowers
Jaffna,35,28,85,60,Showers or thundershowers after 2.00p.m
Kandy,31,22,95,65,Showers or thundershowers after 2.00p.m
Nuwara-Eliya,23,13,90,70,Showers or thundershowers after 2.00p.m
Ratnapura,35,24,95,70,Showers or thundershowers after 2.00p.m
Trincomalee,35,26,90,60,Showers or thundershowers after 2.00p.m
Mannar,33,28,90,65,Showers or thundershowers after 2.00p.m
