දිනය : 2026-04-30,,,,,
නගරය,උෂණ් ත්වය(සෙ. අංශක),,ොසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,33,25,95,60,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
මඩකලපුව,34,26,90,60,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
හකාළඹ,32,26,90,70,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
ගාල්ල,32,26,90,80,වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
යාපනය,35,28,85,60,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
ම නුවර,31,22,95,65,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
නුවරඑළිය,23,13,90,70,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
රත්නපුරය,35,24,95,70,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
ත්‍රිකුණාමලය,35,26,90,60,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
මන්නාරම,33,28,90,65,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
