பிரதான நகரங்களுக்கான வானிலை முன்னறிவித்தல் தி க தி : 2 0 2 6 - 0 5 - 0 5,,,,,
நகரம்,வவப்பநிலை (0C),,சாரீரப்பதன் (%),,வானிலை
,உச்ச,குலைந்த,உச்ச,குலைந்த,
அனுராதபுரம்,33,26,95,70,"பி.ப. 2.00 மணிக்குப் பின்னர் மழை அல்லது இடியுடன் கூடிய மழை பபய்யும்
சாத்தியம்"
மட்டக்களப்பு,33,26,95,65,பி.ப. 2.00 மணிக்குப் பின்னர் மழை அல்லது இடியுடன் கூடிய மழை பபய்யும்
வகாழும்பு,32,26,85,70,அடிக்கடி மழை பபய்யும்
காலி,31,24,90,75,மழை அல்லது இடியுடன் கூடிய மழை பபய்யும்
யாழ்ப்பாணம்,34,29,80,60,பிரதானமாக சீரான வானிழல
கண்டி,32,22,95,65,"பி.ப. 2.00 மணிக்குப் பின்னர் மழை அல்லது இடியுடன் கூடிய மழை பபய்யும்
சாத்தியம்"
நுவவரலியா,22,13,95,70,"பி.ப. 2.00 மணிக்குப் பின்னர் மழை அல்லது இடியுடன் கூடிய மழை பபய்யும்
சாத்தியம்"
இரத்தினபுரி,34,24,95,65,மழை அல்லது இடியுடன் கூடிய மழை பபய்யும்
திருககாணமலை,34,26,90,55,"பி.ப. 2.00 மணிக்குப் பின்னர் மழை அல்லது இடியுடன் கூடிய மழை பபய்யும்
சாத்தியம்"
மன்னார்,33,29,90,70,"பி.ப. 2.00 மணிக்குப் பின்னர் மழை அல்லது இடியுடன் கூடிய மழை பபய்யும்
சாத்தியம்"
