දින්‍ය : 2026-05-07,,,,,
න්‍ රය,උෂ්ණත්වය(ගස. අංශක),,සාගේක්ෂ ආර්රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරොධ්‍පුරය,33,26,95,65,සවස 2.00ේ පසුව වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති නේ
මඩකලපුව,34,26,95,70,සවස 2.00ේ පසුව වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති නේ
නකොළඹ,33,26,90,65,සවස 2.00ේ පසුව වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති විය ැක
ගොල්ල,31,27,90,75,සවස 2.00ේ පසුව වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති නේ
යොපනය,34,26,85,65,සවස 2.00ේ පසුව වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති විය ැක
ම නුවර,30,23,95,75,සවස 2.00ේ පසුව වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති නේ
නුවරඑළිය,21,14,95,70,සවස 2.00ේ පසුව වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති නේ
රත්නපුරය,34,25,95,70,සවස 2.00ේ පසුව වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති නේ
ත්‍රිකුණොමලය,34,26,90,50,සවස 2.00ේ පසුව වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති විය ැක
මේනොරම,33,27,95,70,සවස 2.00ේ පසුව වැසි න ෝ ගිගුරුම් සහිත වැසි ඇති නේ
