Date : 15-May-2026,,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,26,24,95,85,Showers or thundershowers at times
Batticaloa,32,25,90,65,Showers or thundershowers after 2.00p.m
Colombo,28,24,95,85,Showers or thundershowers at times
Galle,27,24,95,85,Showers or thundershowers at times
Jaffna,30,26,95,80,Showers or thundershowers at times
Kandy,25,23,95,80,Showers or thundershowers at times
Nuwara-Eliya,17,14,95,80,Showers or thundershowers at times
Ratnapura,28,23,95,80,Showers or thundershowers at times
Trincomalee,28,25,90,75,Showers or thundershowers at times
Mannar,29,27,95,85,Showers or thundershowers at times
