දිනය : 2026-05-15,,,,,
නගරය,උෂ්ණත්වය(සෙ. අංශක),,ොසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,26,24,95,85,විටින් විට වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
මඩකලපුව,32,25,90,65,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
ගකාළඹ,28,24,95,85,විටින් විට වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
ොල්ල,27,24,95,85,විටින් විට වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
යාපනය,30,26,95,80,විටින් විට වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
මහනුවර,25,23,95,80,විටින් විට වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
නුවරඑළිය,17,14,95,80,විටින් විට වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
රත්නපුරය,28,23,95,80,විටින් විට වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
ත්‍රිකුණාමලය,28,25,90,75,විටින් විට වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
මන්නාරම,29,27,95,85,විටින් විට වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
