Date : 16-May-2026,,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,30,23,95,80,Several spells of showers
Batticaloa,33,26,95,60,Showers or thundershowers after 2.00p.m
Colombo,31,23,95,90,Showers or thundershowers at times
Galle,30,25,95,80,Showers or thundershowers at times
Jaffna,30,23,95,90,Showers or thundershowers at times
Kandy,28,22,95,80,Showers or thundershowers at times
Nuwara-Eliya,19,14,95,90,Several spells of showers
Ratnapura,29,22,95,90,Showers or thundershowers at times
Trincomalee,32,24,95,70,Showers or thundershowers after 2.00p.m
Mannar,30,25,95,80,Showers or thundershowers at times
