දින්‍ය : 2026-05-18,,,,,
න්‍ගරය,උෂ්ණත්වය(ලස. අංශ්‍ක),,සාලේක්ෂ ආර්රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,32,25,95,70,වැසි වාර කිහිපයක්
මඩකලපුව,34,27,90,70,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
හකාළඹ,31,26,95,80,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
ගාල්ල,30,26,95,80,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
යාපනය,32,27,95,80,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
මහනුවර,31,23,95,75,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
නුවරඑළිය,19,15,95,80,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
රත්නපුරය,32,24,95,80,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
ිකුණාමලය,34,26,90,65,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
මන්නාරම,31,25,95,80,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
