Weather Forecast for Main Cities Date : 19-May-2026,,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,32,25,95,65,Several spells of showers
Batticaloa,34,26,90,70,Showers or thundershowers are likely after 2.00p.m
Colombo,31,25,90,70,Showers at times
Galle,30,26,90,80,Showers at times
Jaffna,32,27,85,75,Several spells of light showers
Kandy,30,23,95,70,Showers at times
Nuwara-Eliya,19,16,95,75,Showers at times
Ratnapura,31,24,95,80,Showers at times
Trincomalee,33,26,85,50,Showers or thundershowers are likely after 2.00p.m
Mannar,30,26,95,75,Several spells of showers
