දිනෙ : 2026-05-19,,,,,
නගරෙ,උෂ්ණත්වෙ(මස. අංශක),,සාමේක්ෂ ආර්ද්‍රතාවෙ(%),,කාලගුණෙ
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,32,25,95,65,වැසි වාර කිහිපයක්
මඩකලපුව,34,26,90,70,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
හකාළඹ,31,25,90,70,විටින් විට වැසි
ගාල්ල,30,26,90,80,විටින් විට වැසි
යාපනය,32,27,85,75,සිහින් වැසි වාර කිහිපයක්
මහනුවර,30,23,95,70,විටින් විට වැසි
නුවරඑළිය,19,16,95,75,විටින් විට වැසි
රත්නපුරය,31,24,95,80,විටින් විට වැසි
ත්‍රිකුණාමලය,33,26,85,50,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
මන්නාරම,30,26,95,75,වැසි වාර කිහිපයක්
