Weather Forecast for Main Cities Date : 20-May-2026,,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,32,26,95,70,Several spells of showers
Batticaloa,33,27,90,75,Showers or thundershowers after 2.00p.m
Colombo,31,27,90,70,Showers at times
Galle,30,28,90,80,Showers at times
Jaffna,32,27,90,75,A few showers
Kandy,30,23,95,65,Showers at times
Nuwara-Eliya,20,16,95,80,Showers at times
Ratnapura,32,25,95,70,Showers at times
Trincomalee,34,26,90,60,Showers or thundershowers are likely after 2.00p.m
Mannar,32,28,95,70,Several spells of showers
