Weather Forecast for Main Cities Date : 22-May-2026,,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,32,27,95,70,A few showers
Batticaloa,33,28,90,65,Showers or thundershowers are likely after 2.00p.m
Colombo,30,25,95,70,Showers at times
Galle,30,25,95,70,Showers at times
Jaffna,31,27,90,70,A few showers
Kandy,29,23,95,75,Showers at times
Nuwara-Eliya,21,15,95,80,Showers at times
Ratnapura,30,24,95,80,Showers at times
Trincomalee,34,27,80,55,Mainly fair
Mannar,32,28,85,70,A few showers
